customer,invoice_amount,days_until_due,previous_avg_delay,previous_late_payments,customer_invoice_count,payment_delay_days
Customer J,870652,7,22,8,28,32
Customer F,122306,60,21,0,27,15
Customer F,716459,45,9,6,12,18
Customer I,732054,30,39,8,50,37
Customer J,331433,30,15,1,18,12
Customer H,305709,45,36,9,43,39
Customer F,240672,45,13,5,17,18
Customer F,343243,60,17,8,1,22
Customer D,805053,45,31,8,49,37
Customer D,774156,45,31,7,2,39
Customer D,371080,60,23,7,36,30
Customer I,410455,45,35,5,23,31
Customer E,291736,7,12,5,8,15
Customer I,849213,15,12,3,48,10
Customer I,675780,30,6,3,19,10
Customer D,428411,15,19,0,46,10
Customer A,630238,30,8,10,49,22
Customer H,157570,7,36,4,31,28
Customer A,314742,45,7,1,26,7
Customer H,127680,60,40,10,4,49
Customer E,139318,15,7,8,49,28
Customer G,685770,60,39,3,50,25
Customer H,361797,60,27,4,37,24
Customer J,113156,60,6,3,41,11
Customer C,301516,15,35,1,11,34
Customer A,478361,45,38,7,19,41
Customer E,787135,45,4,10,15,24
Customer E,876097,60,12,6,8,15
Customer E,916785,15,4,0,11,6
Customer E,673948,60,18,7,8,20
Customer G,335470,60,34,7,29,36
Customer B,677086,7,27,5,39,29
Customer J,665643,7,17,9,3,31
Customer C,543355,60,28,4,12,31
Customer H,145674,45,22,6,22,25
Customer F,752685,7,10,5,27,19
Customer G,903085,60,2,7,6,13
Customer F,314659,30,7,6,33,15
Customer I,534417,45,3,3,34,7
Customer F,702878,45,40,7,49,45
Customer C,352020,45,31,1,2,23
Customer J,888141,15,10,4,36,24
Customer D,932277,7,29,1,42,26
Customer C,572584,30,32,4,27,35
Customer D,528975,60,9,6,13,5
Customer J,582929,15,4,4,50,13
Customer I,330150,7,18,4,38,16
Customer J,741998,45,9,7,35,17
Customer I,445533,45,20,3,45,19
Customer D,649573,45,14,6,3,18
Customer G,454832,15,31,0,9,27
Customer I,668849,30,6,7,7,11
Customer C,479893,15,4,7,17,16
Customer F,703534,45,5,5,44,18
Customer F,707246,45,34,0,40,21
Customer B,296174,30,14,1,28,19
Customer B,515230,15,19,0,3,13
Customer F,884816,7,18,5,24,22
Customer G,643418,15,10,2,6,14
Customer J,963141,45,39,10,16,40
Customer D,533550,30,29,4,43,26
Customer A,992573,45,18,10,35,36
Customer F,666113,30,40,6,45,41
Customer E,529027,30,12,6,31,22
Customer F,652733,30,18,0,43,15
Customer G,337813,7,36,10,50,43
Customer J,831369,45,18,3,39,19
Customer F,279642,15,39,4,44,35
Customer C,708765,7,40,10,3,40
Customer E,876918,45,2,9,24,20
Customer E,392589,45,11,3,9,10
Customer I,969035,30,33,8,18,41
Customer H,895664,30,21,1,30,15
Customer B,197594,15,25,8,24,37
Customer E,612636,7,29,5,44,33
Customer E,662955,45,40,5,7,32
Customer J,977187,60,20,9,15,27
Customer B,716269,45,19,10,27,34
Customer A,369149,45,7,1,16,7
Customer I,192254,45,29,5,43,35
Customer I,489486,60,9,6,42,14
Customer B,924190,45,39,6,18,44
Customer H,516297,15,23,1,44,20
Customer F,620913,30,3,6,18,14
Customer H,146126,15,40,9,2,47
Customer A,875013,30,15,2,37,19
Customer I,267220,60,13,3,22,23
Customer C,876952,60,0,4,10,16
Customer C,165266,7,8,0,23,7
Customer D,667457,30,1,2,17,12
Customer I,169169,7,30,7,50,37
Customer F,588169,60,6,7,33,18
Customer I,366282,45,1,0,31,7
Customer G,496980,7,31,7,5,38
Customer C,118872,15,17,9,41,27
Customer J,624993,30,24,9,34,30
Customer G,153996,7,35,3,28,36
Customer H,981230,15,26,5,30,24
Customer F,497494,30,16,5,10,24
Customer H,120394,7,5,1,28,14
Customer C,633397,7,37,8,36,45
Customer F,752559,7,26,5,43,36
Customer A,351601,60,19,5,7,19
Customer J,582060,15,9,10,31,26
Customer I,435415,7,17,9,15,32
Customer G,936209,60,39,9,44,44
Customer E,80359,15,17,4,22,19
Customer F,56402,15,9,9,43,22
Customer A,146214,60,13,6,27,21
Customer H,407455,15,23,4,47,19
Customer J,139083,7,9,2,49,22
Customer J,102179,7,17,7,43,20
Customer G,336436,15,32,1,23,28
Customer G,166276,30,37,7,34,36
Customer G,678437,7,0,3,20,6
Customer D,854624,15,16,4,21,27
Customer G,234229,15,24,8,46,36
Customer D,574563,60,22,1,26,17
Customer A,532087,7,20,9,28,30
Customer J,474068,45,18,1,26,18
Customer J,532446,30,5,6,7,15
Customer D,506839,60,25,8,6,27
Customer F,282335,30,10,1,33,11
Customer B,606379,60,12,5,23,15
Customer C,297745,7,9,4,13,6
Customer C,681661,15,4,2,50,4
Customer J,846788,60,28,10,37,35
Customer J,388908,30,9,7,5,12
Customer E,670148,7,22,8,5,32
Customer E,534172,45,2,0,24,2
Customer B,694883,60,32,6,30,30
Customer J,631242,7,28,9,42,39
Customer I,208189,7,28,1,22,28
Customer B,579057,15,2,3,46,4
Customer I,689427,15,23,5,19,28
Customer G,478625,30,38,0,41,24
Customer B,635066,45,18,4,47,17
Customer J,965700,15,21,1,38,15
Customer E,737923,45,8,9,46,15
Customer B,374620,60,24,10,22,36
Customer I,147992,45,32,5,2,23
Customer F,373869,15,13,5,50,16
Customer C,212471,7,18,1,33,16
Customer I,925686,60,2,10,22,27
Customer J,445019,15,10,2,45,7
Customer J,898343,15,28,0,27,18
Customer H,690255,30,28,3,35,30
Customer D,374500,45,12,5,44,30
Customer H,856814,30,24,8,34,28
Customer G,219930,15,38,2,17,36
Customer F,631478,7,33,1,19,27
Customer B,850185,15,17,7,33,32
Customer D,906375,45,22,0,27,22
Customer A,465712,60,23,3,25,25
Customer A,384165,7,21,2,9,19
Customer A,350814,45,8,7,29,10
Customer A,318355,15,9,8,47,15
Customer J,603408,45,7,4,16,11
Customer G,719989,60,29,1,8,25
Customer H,675726,60,1,10,33,12
Customer E,500089,7,39,5,16,33
Customer J,486802,15,5,8,24,25
Customer I,874613,60,35,0,25,28
Customer H,95649,45,23,4,48,31
Customer F,302838,7,37,5,9,36
Customer A,419412,60,21,10,12,35
Customer H,712423,15,8,1,46,5
Customer H,88780,30,12,0,13,11
Customer E,590418,45,34,7,17,32
Customer A,839882,15,18,5,50,33
Customer E,180521,30,27,6,48,31
Customer H,988095,45,21,2,32,19
Customer I,329676,7,27,1,28,17
Customer J,912287,15,34,4,21,38
Customer E,371384,45,38,6,11,38
Customer H,418623,45,2,5,40,14
Customer A,128686,45,23,8,48,29
Customer C,82653,15,38,10,29,47
Customer F,429742,45,36,0,39,24
Customer C,762048,45,23,5,29,27
Customer I,434774,45,20,10,18,24
Customer D,168959,7,11,7,34,17
Customer E,862609,30,28,3,40,31
Customer E,777691,45,12,1,9,16
Customer H,142055,30,22,1,36,12
Customer I,354466,30,10,10,12,26
Customer B,260743,15,15,7,2,19
Customer F,630933,60,23,7,36,35
Customer B,374314,45,30,8,27,41
Customer G,913333,60,4,2,21,6
Customer I,411249,15,35,10,38,38
Customer C,855077,15,27,8,4,40
Customer E,222655,15,20,3,23,15
Customer I,988397,30,5,4,13,9
Customer C,705383,30,39,8,6,38
Customer I,722124,15,37,9,10,49
Customer J,404019,60,2,0,6,7
Customer A,722612,60,16,10,14,32
Customer A,572230,60,18,10,20,25
Customer H,306773,45,19,7,5,24
Customer G,557774,45,13,5,39,15
Customer C,377766,30,22,6,9,26
Customer B,384617,15,29,1,18,17
Customer H,309961,15,6,0,19,15
Customer G,310330,15,20,9,47,28
Customer F,249055,15,31,8,30,32
Customer A,144423,45,32,7,16,33
Customer D,661680,30,3,0,19,0
Customer H,349628,60,0,1,28,2
Customer C,975321,30,23,6,24,30
Customer I,254110,30,35,4,5,30
Customer G,578750,45,35,4,40,29
Customer B,463037,30,21,8,24,26
Customer C,258727,60,32,6,33,33
Customer F,893019,45,33,7,10,37
Customer J,986516,60,8,5,40,15
Customer J,825232,30,37,5,33,41
Customer I,608198,45,36,4,31,33
Customer B,486774,60,19,10,2,26
Customer J,547643,30,37,9,15,39
Customer C,599697,60,24,2,44,13
Customer D,83104,60,7,3,2,5
Customer G,774042,15,26,8,50,38
Customer J,544514,7,8,8,14,5
Customer H,601002,45,20,2,30,10
Customer I,408955,60,22,10,50,37
Customer E,689711,45,12,3,18,8
Customer I,362999,15,19,4,46,24
Customer F,553110,30,35,4,19,37
Customer B,651334,60,24,6,23,35
Customer E,94109,30,5,5,29,10
Customer E,833641,45,13,3,35,16
Customer E,193941,7,39,9,16,50
Customer D,103231,60,14,10,15,32
Customer H,155428,15,0,8,11,18
Customer G,734607,45,30,10,13,41
Customer E,727273,7,5,10,37,22
Customer D,611147,7,11,6,12,21
Customer G,876236,45,11,4,3,17
Customer A,362886,60,38,1,22,23
Customer I,599787,45,8,8,30,34
Customer E,252177,7,21,2,47,16
Customer C,64768,30,18,9,44,29
Customer D,234019,60,40,6,28,35
Customer B,243757,15,30,5,16,30
Customer A,323453,45,15,7,49,22
Customer J,807997,60,0,4,42,15
Customer F,776420,15,3,10,8,22
Customer I,988599,30,7,10,19,26
Customer F,694481,15,14,2,31,19
Customer J,441774,45,35,7,49,42
Customer I,890952,15,15,10,49,25
Customer I,518449,60,23,1,37,12
Customer B,114758,60,32,3,37,23
Customer I,513303,7,13,9,32,26
Customer B,992553,60,28,0,30,25
Customer J,110541,60,29,10,20,41
Customer A,465182,30,0,3,38,10
Customer B,617451,7,4,7,3,20
Customer E,478728,15,8,10,47,22
Customer G,520325,45,24,1,44,13
Customer I,189449,30,7,2,35,6
Customer D,925373,7,1,4,30,14
Customer I,494730,60,24,3,16,18
Customer D,967722,7,2,10,27,25
Customer J,853265,7,15,3,5,21
Customer J,754667,7,15,0,26,16
Customer H,295722,60,13,0,9,4
Customer J,384394,60,38,10,21,43
Customer D,366422,15,33,3,27,28
Customer J,972446,15,40,10,28,51
Customer I,569696,7,22,10,43,30
Customer G,478090,15,19,6,12,29
Customer I,546520,15,14,4,46,22
Customer A,639704,45,26,8,34,36
Customer C,457286,15,16,3,22,11
Customer F,146955,60,12,0,18,0
Customer G,756396,60,38,0,5,31
Customer I,277558,45,13,5,20,25
Customer A,272096,15,7,7,16,17
Customer G,300956,60,20,4,25,13
Customer H,609572,30,19,4,24,14
Customer B,891814,45,20,3,24,21
Customer F,484037,7,36,3,48,33
Customer J,657275,45,18,2,13,18
Customer F,291192,45,36,3,32,17
Customer F,319826,45,31,7,11,29
Customer F,227487,15,34,7,12,42
Customer A,599395,7,4,10,4,19
Customer A,482424,15,40,3,5,33
Customer I,528160,30,3,9,41,17
Customer J,556676,45,1,0,35,0
Customer I,807273,30,34,4,2,32
Customer I,902657,45,11,1,7,8
Customer J,602029,30,22,4,26,21
Customer B,441172,45,29,9,16,39
Customer B,735491,7,5,6,25,19
Customer G,629549,45,3,10,1,19
Customer G,726234,30,36,1,34,26
Customer A,290927,15,36,7,18,40
Customer E,992996,60,36,10,3,45
Customer C,941737,30,1,3,38,15
Customer G,130674,30,10,9,16,30
Customer J,925194,45,34,5,25,34
Customer B,575119,30,3,1,28,1
Customer D,929414,7,21,9,50,30
Customer F,81064,30,28,7,15,26
Customer F,629902,45,27,2,44,17
Customer J,359727,15,4,1,18,4
Customer C,448458,15,24,5,24,27
Customer E,516339,30,17,1,9,13
Customer B,246494,45,28,8,36,30
Customer B,421106,60,5,9,39,19
Customer F,955674,45,0,4,27,9
Customer I,999178,15,36,8,11,44
Customer G,227735,15,17,4,18,18
Customer G,339366,45,19,7,5,25
Customer F,313926,15,40,7,39,36
Customer C,369457,7,25,5,40,24
Customer G,893135,30,28,5,28,34
Customer J,192736,30,20,9,45,20
Customer D,552278,30,11,6,21,16
Customer H,653853,15,20,6,18,33
Customer G,432746,7,36,3,38,34
Customer I,78223,45,13,7,19,21
Customer B,908747,45,31,2,41,26
Customer C,799979,45,24,1,29,24
Customer J,552514,60,25,8,33,40
Customer G,620053,7,23,8,39,27
Customer B,164682,15,22,2,42,15
Customer G,839245,30,27,1,1,18
Customer B,321306,15,32,8,36,31
Customer H,442292,45,29,10,38,34
Customer I,208067,30,1,7,7,10
Customer B,171707,15,22,4,22,34
Customer H,872366,15,33,7,23,34
Customer H,384400,7,19,0,46,15
Customer B,73682,30,6,10,11,29
Customer I,232927,60,10,5,36,12
Customer G,534498,15,25,10,12,39
Customer G,80610,60,12,7,38,27
Customer G,457723,7,13,3,18,16
Customer B,655393,7,34,2,24,19
Customer F,256647,45,7,4,43,16
Customer F,675969,45,39,6,38,31
Customer B,414825,30,29,9,12,38
Customer E,694333,60,5,10,9,14
Customer F,173586,15,19,1,12,14
Customer G,488555,60,8,9,25,23
Customer G,244776,45,40,8,45,50
Customer C,631868,15,31,4,9,24
Customer C,379861,45,39,0,23,31
Customer D,904815,45,35,8,42,38
Customer H,479008,45,26,7,32,33
Customer D,356278,7,17,3,35,24
Customer E,226379,45,36,7,36,29
Customer E,862764,60,23,8,49,32
Customer A,846922,45,34,3,28,38
Customer D,362170,7,28,4,23,33
Customer B,510398,7,15,3,48,13
Customer J,713508,45,10,9,9,23
Customer D,903047,15,3,9,23,17
Customer C,389375,30,18,9,18,27
Customer I,993881,7,8,6,4,31
Customer C,785499,15,15,2,46,18
Customer F,918726,15,25,7,10,30
Customer G,443396,45,4,10,50,19
Customer B,472419,60,17,5,30,24
Customer A,961115,7,29,10,43,40
Customer F,941401,7,34,6,14,47
Customer H,331581,30,18,5,36,19
Customer J,186937,60,31,5,44,29
Customer H,67072,7,10,7,30,20
Customer A,498580,15,8,10,20,31
Customer E,147874,30,16,1,24,22
Customer C,104302,45,40,4,47,32
Customer B,787880,7,0,3,31,7
Customer B,189145,60,14,8,44,23
Customer F,906800,7,27,2,31,26
Customer B,290068,45,5,1,7,1
Customer C,451312,15,9,1,34,19
Customer J,58886,60,10,7,23,18
Customer C,481709,60,28,3,6,17
Customer B,196814,7,37,6,23,41
Customer C,309822,30,5,3,36,8
Customer J,679153,60,18,0,43,14
Customer J,584273,15,25,4,42,23
Customer A,871875,15,31,6,8,36
Customer B,603948,7,23,5,9,33
Customer G,952628,60,26,5,35,25
Customer B,67500,60,4,0,17,0
Customer D,91761,7,25,8,19,29
Customer G,494150,45,5,10,35,17
Customer I,695972,15,17,1,20,25
Customer C,612445,30,25,9,41,38
Customer B,375236,45,15,0,16,14
Customer H,692039,60,3,4,43,12
Customer C,175245,7,8,0,11,3
Customer I,871021,30,10,5,9,19
Customer E,818538,7,1,5,28,14
Customer J,708015,7,31,7,33,40
Customer F,108132,45,36,2,24,32
Customer J,756866,7,14,8,1,36
Customer A,950400,7,15,0,31,7
Customer C,949138,7,35,10,27,54
Customer D,387433,15,26,5,18,31
Customer B,576428,7,11,3,34,9
Customer A,470400,7,29,4,50,31
Customer I,528933,7,23,3,19,19
Customer J,872615,30,39,3,30,25
Customer D,818043,60,15,2,1,26
Customer G,75071,15,34,5,41,39
Customer F,51533,45,19,1,14,5
Customer I,299736,45,31,0,10,20
Customer D,990874,60,26,5,30,27
Customer B,658982,7,32,2,41,27
Customer J,115308,45,8,3,19,9
Customer E,942247,30,25,5,21,25
Customer D,192723,60,6,2,7,9
Customer C,521404,45,20,6,8,11
Customer D,523869,30,29,4,8,23
Customer B,215271,30,38,0,14,27
Customer B,795702,15,22,6,33,26
Customer A,760078,30,16,2,2,26
Customer I,834417,60,15,1,30,12
Customer B,892946,15,7,0,4,16
Customer C,257757,45,23,10,41,20
Customer B,660610,60,16,1,2,16
Customer H,898611,15,5,5,8,17
Customer A,533388,7,10,9,28,27
Customer A,451320,45,11,5,14,12
Customer C,338339,30,28,2,3,17
Customer E,573125,45,35,7,4,31
Customer B,343366,45,8,6,13,10
Customer D,711393,60,1,6,46,7
Customer F,552985,60,31,5,37,24
Customer C,77329,30,38,3,2,30
Customer E,111437,45,33,5,50,27
Customer C,154998,15,15,4,35,17
Customer A,851164,15,36,6,23,53
Customer C,234654,15,37,5,48,29
Customer F,670298,7,22,9,37,40
Customer H,618458,30,11,7,3,29
Customer B,108896,15,38,3,2,32
Customer J,261250,15,21,2,21,19
Customer A,72977,15,37,2,50,34
Customer F,126054,30,25,9,7,36
Customer F,366423,30,8,2,47,17
Customer H,730714,30,11,8,45,22
Customer J,875220,30,14,10,38,32
Customer E,183534,15,0,9,26,14
Customer J,83955,15,38,5,40,37
Customer H,197475,30,4,3,23,14
Customer F,226042,7,40,5,29,40
Customer B,417506,30,6,0,4,4
Customer G,509507,45,10,6,32,21
Customer G,156355,45,36,10,49,38
Customer D,220557,45,4,0,19,6
Customer B,127804,30,10,6,11,18
Customer B,623619,7,21,9,40,38
Customer G,735386,15,38,6,11,36
Customer A,156176,30,13,3,27,11
Customer I,328150,30,19,3,7,10
Customer A,461987,60,35,7,10,36
Customer B,358857,60,30,3,7,25
Customer A,267005,15,40,4,6,33
Customer G,543821,45,16,1,42,13
Customer I,456351,15,23,6,24,28
Customer H,537648,30,14,4,37,18
Customer A,208471,7,5,10,23,25
Customer J,288564,60,3,6,34,8
Customer G,611527,45,36,3,31,27
Customer A,576491,60,33,9,44,42
Customer J,204610,7,28,2,11,33
Customer C,94748,45,5,10,28,20
Customer D,912520,15,38,4,21,46
Customer B,141254,45,35,6,36,28
Customer F,948235,30,33,7,1,39
Customer I,869656,45,7,6,10,12
Customer C,644116,60,37,1,7,24
Customer E,959613,60,22,6,17,27
Customer G,736594,45,36,9,31,47
Customer C,698276,60,25,0,26,17
Customer F,774056,15,3,7,18,20
Customer E,376053,30,31,10,7,38
Customer D,190913,30,28,5,18,26
Customer B,247064,45,13,6,48,12
Customer H,846386,60,23,0,33,18
Customer I,472979,15,33,9,2,38
Customer C,252127,15,3,3,3,0
Customer D,337286,30,29,8,26,36
Customer B,764263,7,15,5,32,21
Customer H,665388,60,22,5,11,22
Customer E,835342,7,18,0,25,26
Customer D,948746,15,14,10,14,35
Customer E,733238,45,32,0,50,31
Customer H,188741,15,38,0,15,25
Customer E,687894,30,17,6,25,25
Customer D,539368,30,33,9,26,33
Customer J,157282,7,32,10,24,35
Customer E,362974,7,30,1,22,21
Customer E,721712,30,17,4,42,19
Customer E,247509,15,33,3,4,19
Customer J,473727,30,8,0,42,1
Customer G,474252,45,2,9,46,18
Customer J,905653,15,21,3,44,15
Customer F,581958,30,10,10,36,23
Customer C,358054,7,30,2,48,25
Customer C,762730,30,5,3,23,21
Customer D,830360,30,26,5,24,29
Customer B,543393,7,40,9,38,48
Customer J,124675,45,12,8,8,25
Customer E,483174,7,9,2,13,8
Customer F,479068,60,29,2,21,24
Customer B,561265,30,40,2,21,27
Customer A,54942,45,17,3,49,17
Customer C,563358,7,8,9,28,17
Customer G,472988,45,30,6,1,34
Customer F,64760,30,33,3,2,28
Customer A,707128,15,14,5,20,26
Customer J,370984,15,4,0,20,8
Customer E,528073,60,38,8,22,32
Customer C,409381,45,22,3,11,23
Customer G,70053,15,14,2,14,14
Customer C,179144,30,2,6,41,5
Customer E,858713,60,39,0,39,36
Customer A,100578,7,26,7,25,31
Customer B,623867,30,30,2,14,21
Customer E,491315,7,33,4,40,24
Customer J,784764,15,26,1,33,23
Customer B,872880,7,31,3,39,28
Customer D,865749,30,33,3,23,29
Customer A,624765,45,13,7,22,17
Customer D,52871,7,5,1,37,6
Customer B,867392,60,4,1,17,5
Customer D,528938,30,16,7,4,26
Customer A,943647,30,23,10,21,38
Customer G,824415,7,6,0,1,13
Customer C,394625,30,28,9,18,28
Customer B,440722,30,11,1,26,4
Customer G,773415,45,26,10,11,41
Customer B,188948,7,10,1,27,15
Customer J,761346,45,11,9,25,23
Customer F,691055,7,8,7,32,24
Customer A,116412,30,20,0,46,16
Customer I,854812,60,36,3,43,36
Customer J,149868,45,15,7,23,18
Customer G,205875,60,39,0,1,24
Customer H,943251,45,10,1,49,9
Customer H,386208,15,21,4,4,17
Customer G,472866,15,5,7,29,18
Customer J,519865,7,31,7,21,39
Customer A,157629,45,26,0,36,21
Customer I,50177,7,38,9,41,41
Customer D,736393,45,21,5,4,31
Customer D,935331,45,21,8,50,27
Customer F,800689,45,7,1,49,5
Customer D,52303,30,22,10,19,28
Customer B,98001,15,31,2,46,24
Customer G,162157,30,39,3,13,38
Customer D,529247,15,21,1,49,24
Customer G,98759,60,7,7,30,10
Customer C,573059,7,33,0,36,13
Customer G,929562,60,30,8,50,40
Customer J,232085,15,6,6,43,15
Customer J,685605,30,32,6,27,43
Customer D,336886,45,21,4,29,19
Customer C,194892,45,38,8,20,43
Customer F,796454,60,40,3,13,29
Customer D,704487,30,22,10,9,42
Customer C,578370,60,40,5,46,34
Customer B,847730,30,35,7,38,32
Customer G,756995,60,18,6,1,22
Customer I,161642,7,24,2,4,20
Customer C,350538,30,9,0,45,3
Customer E,263910,60,2,5,29,18
Customer I,956852,15,35,6,16,45
Customer I,872405,30,3,6,25,8
Customer F,628944,7,0,4,13,14
Customer J,961055,45,14,10,46,29
Customer J,623167,60,12,3,19,9
Customer H,236044,7,11,2,48,8
Customer G,342670,60,16,2,11,14
Customer J,937110,30,0,5,30,11
Customer C,388302,60,3,10,40,17
Customer E,564379,60,35,5,5,33
Customer D,242800,60,4,8,11,13
Customer G,619460,60,25,1,23,19
Customer F,397148,30,18,3,49,21
Customer J,606268,45,35,10,1,44
Customer D,998433,60,39,3,3,37
Customer F,449898,7,24,4,35,25
Customer I,912043,30,32,8,29,37
Customer H,95981,30,12,5,33,19
Customer I,609106,7,40,1,14,31
Customer D,956966,45,6,3,35,17
Customer G,727968,7,9,0,30,2
Customer F,89726,7,4,0,12,6
Customer J,911530,15,16,6,25,20
Customer H,710830,45,27,5,2,28
Customer A,722580,60,4,9,3,23
Customer B,425075,60,6,4,44,10
Customer H,449941,45,1,7,11,15
Customer I,280545,15,25,8,19,35
Customer F,61691,60,35,2,8,26
Customer A,55274,60,38,6,35,33
Customer D,834645,30,13,6,42,22
Customer I,199375,15,11,3,40,16
Customer C,753571,60,3,8,30,17
Customer I,126697,30,4,4,7,12
Customer F,424486,15,15,1,19,20
Customer J,123199,15,20,7,29,24
Customer J,209797,60,36,5,21,39
Customer G,226831,7,20,3,15,19
Customer E,930919,30,8,10,47,19
Customer F,970530,45,29,7,23,35
Customer B,234308,60,5,4,9,5
Customer I,255973,30,40,1,47,29
Customer I,712308,7,37,9,26,46
Customer J,273095,7,35,4,35,37
Customer C,433588,45,14,9,47,21
Customer E,190384,45,32,8,6,30
Customer D,939173,60,10,8,9,27
Customer H,216956,15,36,9,43,44
Customer H,426224,7,14,7,15,22
Customer B,327198,30,14,0,43,12
Customer F,456945,45,29,0,3,29
Customer F,158239,60,40,4,48,33
Customer C,444956,45,23,9,42,37
Customer B,591760,30,24,3,34,13
Customer F,560511,45,38,0,33,30
Customer C,511267,15,14,1,33,11
Customer C,215001,30,38,1,43,24
Customer D,484753,30,7,7,44,14
Customer C,728700,45,1,3,3,10
Customer C,651344,60,10,2,41,0
Customer C,108627,15,16,2,34,15
Customer G,678471,60,40,0,47,25
Customer B,277114,45,38,7,31,28
Customer C,280019,45,38,2,38,30
Customer I,327370,15,21,7,39,25
Customer J,122187,15,24,6,9,31
Customer I,767611,45,9,9,7,27
Customer C,548985,60,38,0,35,22
Customer H,741423,15,38,8,1,44
Customer G,597403,45,23,0,45,11
Customer H,877909,45,22,9,48,33
Customer J,152463,45,8,4,31,13
Customer B,347026,60,34,6,17,22
Customer D,55735,7,36,8,8,35
Customer D,771175,30,26,5,7,28
Customer C,496768,60,16,4,35,13
Customer E,763666,45,13,6,36,24
Customer I,555904,15,23,8,36,16
Customer J,411083,45,8,10,8,25
Customer D,518288,15,6,3,33,8
Customer I,693852,7,10,6,41,22
Customer A,893442,7,9,7,39,22
Customer D,438848,7,38,0,47,27
Customer G,470106,60,33,4,46,30
Customer C,721394,45,28,0,13,21
Customer I,349899,15,2,9,33,16
Customer C,756765,7,23,3,42,25
Customer A,215092,7,17,6,23,21
Customer D,592892,7,4,1,36,2
Customer E,811411,60,37,5,23,40
Customer J,253974,45,25,9,1,32
Customer E,233537,45,32,1,36,26
Customer B,891945,60,16,8,37,30
